model_id,model_name,priority,research_question,outcome_vars,main_exposures,controls,fe_spec,se_spec,timing_spec,sample_rule,diagnostics,robustness_axes,output_files,script_path
M01,ESDA Main,high,RQ2,age60_resident_share;age60_floating_share;vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,none,none,not applicable,not applicable,contemporaneous quarterly cross-section plus quarterly sequence,latest quarter cross-section and full quarterly sequence from panel_main,Global Moran permutation;Bivariate Moran permutation;LISA;EHSA,alternative W and support outcomes,global_morans_i.csv;global_morans_i_by_w.csv;global_bivariate_morans_i.csv;univariate_lisa_summary.csv;univariate_lisa_local.csv;bivariate_lisa_summary.csv;bivariate_lisa_local.csv;emerging_hotspot_summary.csv;emerging_hotspot_local.csv,02_Code/02_esda/02_run_esda.R
M03,TWFE Main,high,RQ1,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_resident_share,ln_resident_pop;ln_official_land_price;transit_accessibility,adm_cd plus yq,cluster on adm_cd,contemporaneous quarterly contract,complete-case quarterly sample with screened main controls,residual Moran and model diagnostics,control subset;sample balance,twfe_main_models.csv;twfe_main_models.html;twfe_main_controls_used.csv;twfe_main_diagnostics.csv;twfe_main_residual_moran.csv;twfe_main_residual_moran_by_yq.csv;twfe_main_residual_moran_summary.csv;twfe_main_coefplot.png;twfe_main_coefplot_supplementary.png,02_Code/03_models/01_run_twfe_main.R
M03A,TWFE Channel,low,RQ1 appendix,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base;age60_floating_share,age60_resident_share plus age60_floating_share,controls inherited from twfe_main_controls_used; x_to_m uses common selected main controls,adm_cd plus yq,cluster on adm_cd,contemporaneous quarterly contract,quarterly appendix sample with channel exposure availability,channel coefficient table and control screen,channel exposure inclusion and overlap handling,twfe_channel_models.csv;twfe_channel_controls_used.csv,02_Code/80_optional/twfe/01_run_twfe_channel_models.R
M03B,TWFE Interaction,medium,RQ1 appendix,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_resident_share plus age60_resident_share:covid_period,controls inherited from twfe_main_controls_used,adm_cd plus yq,cluster on adm_cd,contemporaneous quarterly contract,quarterly appendix sample with covid_period availability,interaction effect summary and model diagnostics,interaction term and control subset,twfe_interaction_models.csv;twfe_interaction_controls_used.csv;twfe_interaction_diagnostics.csv;twfe_interaction_effect_summary.csv,02_Code/80_optional/twfe/02_run_twfe_interaction_models.R
M03C,TWFE Age Mix,low,RQ1 appendix,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age20_resident_share;age30_resident_share;age40_resident_share;age50_resident_share;age20_floating_share;age30_floating_share;age40_floating_share;age50_floating_share,twfe main control subset; resident family keeps ln_resident_pop; floating family does not add ln_floating_pop,adm_cd plus yq,cluster on adm_cd,contemporaneous quarterly contract with age60plus omitted as reference,quarterly appendix sample rebuilt from quarterly domain age shares,domain-specific coefficient table and diagnostics,domain choice and current main-control inheritance,twfe_age_mix_experiment_models.csv;twfe_age_mix_experiment_controls_used.csv;twfe_age_mix_experiment_diagnostics.csv,02_Code/80_optional/twfe/03_run_twfe_age_mix_experiment.R
M05,SPDM Main,high,RQ1 and RQ2,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_resident_share plus W age60_resident_share,ln_resident_pop;ln_official_land_price;transit_accessibility plus W selected controls,true SDM with spatial lagged dependent variable and manual WX terms plus adm_cd and yq structure,model-based asymptotic spatial-panel SE with simulation-based impact SE where impacts are reported,contemporaneous quarterly contract,balanced quarterly sample aligned to queen W,direct indirect total effects from SDM matrix impacts plus convergence diagnostics and WX trace,control subset;balanced sample rule;manual WX construction,spdm_main_models.csv;spdm_impacts.csv;spdm_controls_used.csv;spdm_main_diagnostics.csv,02_Code/03_models/02_run_spdm_main.R
M05A,SPDM Channel Path,high,RQ1 canonical mediation-oriented channel path,vitality_sub_economic;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_resident_share -> age60_floating_share -> vitality,ln_resident_pop;ln_official_land_price;transit_accessibility plus W selected controls,three quarterly Queen true SDM equations for c/a/b-c-prime with spatial lagged mediator/outcome and manual WX terms,model-based asymptotic spatial-panel SE with channel impact simulation plus adm_cd wild residual bootstrap product-effect inference;impact/bootstrap draws can be parallelized by env core controls,contemporaneous quarterly contract,common balanced quarterly Queen sample per outcome excluding standalone floating-source social outcome while retaining social vitality inside the composite index,c path;a path;b path;c-prime path;product indirect effects;direct attenuation;bootstrap draws and diagnostics,mediator overlap caveat;common sample balance;adm_cd_wild_residual bootstrap default;delta_independent_approx fallback;RUN_SPDM_CHANNEL_BOOTSTRAP=true;SPDM_CHANNEL_BOOTSTRAP_R=1000;SPDM_CHANNEL_BOOTSTRAP_CORES=4;SPDM_CHANNEL_IMPACT_SIM_R=1000;SPDM_CHANNEL_IMPACT_CORES=4,spdm_channel_models.csv;spdm_channel_impacts.csv;spdm_channel_controls_used.csv;spdm_channel_path_effects.csv;spdm_channel_bootstrap_draws.csv;spdm_channel_diagnostics.csv,02_Code/03_models/03_run_spdm_channel_path.R
M05B,SPDM Interaction,medium,RQ1 appendix,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_resident_share plus age60_resident_share:covid_period,controls inherited from spdm_main_controls_used,entity and yq structure in panel spatial model,model-based asymptotic spatial-panel SE with simulation-based impact SE where impacts are reported,contemporaneous quarterly contract,quarterly appendix sample with covid_period availability,interaction effect summary and diagnostics,interaction term and control subset,spdm_interaction_models.csv;spdm_interaction_impacts.csv;spdm_interaction_effect_summary.csv;spdm_interaction_controls_used.csv;spdm_interaction_diagnostics.csv,02_Code/80_optional/spdm/01_run_spdm_interaction_models.R
M05C,SPDM Age Mix,low,RQ1 appendix,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age20_resident_share;age30_resident_share;age40_resident_share;age50_resident_share;age20_floating_share;age30_floating_share;age40_floating_share;age50_floating_share,same-domain quarterly totals plus spdm main control subset,entity and yq structure in panel spatial model,model-based asymptotic spatial-panel SE with simulation-based impact SE where impacts are reported,contemporaneous quarterly contract with age60plus omitted as reference,quarterly appendix sample rebuilt from quarterly domain age shares,direct indirect total effects and diagnostics for domain-specific age-mix contracts,domain choice and same-domain total control retention,spdm_age_mix_experiment_models.csv;spdm_age_mix_experiment_impacts.csv;spdm_age_mix_experiment_controls_used.csv;spdm_age_mix_experiment_diagnostics.csv,02_Code/80_optional/spdm/02_run_spdm_age_mix_experiment.R
M05D,SPDM Sector Share,low,RQ1 appendix,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_resident_share;age60_floating_share,same-domain quarterly totals plus spdm main control subset,entity and yq structure in panel spatial model,model-based asymptotic spatial-panel SE with simulation-based impact SE where impacts are reported,contemporaneous quarterly contract,quarterly appendix sample across resident and floating exposure families,direct indirect total effects and diagnostics for sector-share exposure families,exposure family choice and same-domain total control retention,spdm_sector_share_experiment_models.csv;spdm_sector_share_experiment_impacts.csv;spdm_sector_share_experiment_controls_used.csv;spdm_sector_share_experiment_diagnostics.csv;spdm_sector_share_experiment_exposure_relations.csv,02_Code/80_optional/spdm/03_run_spdm_sector_share_experiment.R
