spec_item_id,spec_doc,script_path,primary_outputs,depends_on_specs,notes
S002,01_data_spec.md,02_Code/01_preprocess/01_build_adm_region_lookup.R,adm_region_lookup.parquet;adm_region_lookup.csv;adm_region_lookup_qc.csv,03_join_harmonization_rules.csv:J00,static adm_cd dong-gu-living-area lookup from 2020 admin boundary
S004,01_data_spec.md,02_Code/01_preprocess/02_build_seoul_year_base.R,seoul_year_base.parquet;seoul_raw_review.parquet;panel_year_aggregation_qc.csv,02_variable_dictionary.csv;03_join_harmonization_rules.csv:J01,Seoul annual base build and annualization QC
S005,01_data_spec.md,02_Code/01_preprocess/03_build_auxiliary_covariates.R,aux_covariates.parquet;medical_source_preagg.parquet;mall_source_preagg.parquet;senior_source_preagg.parquet;walk_betweenness_local800_len_v1.parquet,02_variable_dictionary.csv;03_join_harmonization_rules.csv:J03,annual and static auxiliary integration plus record-level pre-aggregation layers
S005A,01_data_spec.md,02_Code/80_optional/preprocess/01_build_living_population_inflow.R,living_population_external_inflow.parquet;living_population_inflow_manifest.csv;living_population_inflow_qc.csv,02_variable_dictionary.csv:external_inflow_pop;03_join_harmonization_rules.csv:J03A,Seoul Living Population external inflow annual mean point-population build
S005B,01_data_spec.md,02_Code/01_preprocess/04_build_golmok_survival_rate.R,golmok_survival_rate.parquet;golmok_survival_all_levels.parquet;golmok_survival_rate_qc.csv,02_variable_dictionary.csv:survival_3y;03_join_harmonization_rules.csv:J03B,Seoul Commercial Service new-enterprise survival-rate JSON annual layer
S005C,01_data_spec.md,02_Code/01_preprocess/05_build_registered_resident_population.R,registered_resident_population.parquet;registered_resident_population_monthly.parquet;registered_resident_population_mapping_qc.csv;registered_resident_population_qc.csv,02_variable_dictionary.csv:age60_resident_share;02_variable_dictionary.csv:ln_resident_pop;03_join_harmonization_rules.csv:J03C,MOIS registered resident-population annual layer for resident exposure controls and resident age-mix support
S006,03_join_harmonization_rules.md,02_Code/01_preprocess/06_build_analysis_panel.R,panel_merged_base.parquet;panel_main_pre_vitality.parquet,03_join_harmonization_rules.csv:J03;J03A;J03B;J03C;J04,main annual join layer plus shared derived pre-vitality panel publication
S007,02_variable_dictionary.md,02_Code/01_preprocess/07_build_vitality_index.R,vitality_components.parquet;panel_main.parquet,02_variable_dictionary.csv:vitality_index_base;vitality_index_entropy;vitality_index_pca,index creation plus final shared annual panel publication
S008,04_model_spec.md,02_Code/02_esda/01_build_spatial_weights.R,W_queen.rds;W_rook.rds;W_knn6.rds;W_knn8.rds,03_join_harmonization_rules.md:2) 공간 기준,spatial setup on 2020 admin-dong boundary
S009,04_model_spec.md,02_Code/02_esda/02_run_esda.R,global_morans_i.csv;global_morans_i_by_w.csv;global_bivariate_morans_i.csv;univariate_lisa_summary.csv;univariate_lisa_local.csv;bivariate_lisa_summary.csv;bivariate_lisa_local.csv;emerging_hotspot_summary.csv;emerging_hotspot_local.csv;distribution_map__*.png;univariate_lisa_map__*.png;bivariate_lisa_map__*.png;emerging_hotspot_map__*.png,04_model_spec.csv:M01,main annual ESDA diagnostics over aging vars plus vitality dimensions
S012,04_model_spec.md,02_Code/03_models/01_run_twfe_main.R,twfe_main_models.csv;twfe_main_models.html;twfe_main_controls_used.csv;twfe_main_diagnostics.csv;twfe_main_residual_moran.csv;twfe_main_residual_moran_by_year.csv;twfe_main_residual_moran_summary.csv;twfe_main_coefplot.png;twfe_main_coefplot_supplementary.png,04_model_spec.csv:M03,resident-only annual FE baseline with residual Moran diagnostics
S012A,04_model_spec.md,02_Code/80_optional/twfe/01_run_twfe_channel_models.R,twfe_channel_models.csv;twfe_channel_controls_used.csv,04_model_spec.csv:M03A,manual annual appendix TWFE channel family with resident plus floating-age exposure
S012B,04_model_spec.md,02_Code/80_optional/twfe/02_run_twfe_interaction_models.R,twfe_interaction_models.csv;twfe_interaction_controls_used.csv;twfe_interaction_diagnostics.csv;twfe_interaction_effect_summary.csv,04_model_spec.csv:M03B,supplementary TWFE COVID interaction appendix family
S012C,04_model_spec.md,02_Code/80_optional/twfe/03_run_twfe_age_mix_experiment.R,twfe_age_mix_experiment_models.csv;twfe_age_mix_experiment_controls_used.csv;twfe_age_mix_experiment_diagnostics.csv,04_model_spec.csv:M03C,manual annual appendix TWFE age-mix family rebuilt from annualized domain age shares
S014,04_model_spec.md,02_Code/03_models/02_run_spdm_main.R,spdm_main_models.csv;spdm_impacts.csv;spdm_controls_used.csv;spdm_main_diagnostics.csv,04_model_spec.csv:M05,resident-only annual true SDM with manual WX terms aligned to TWFE main exposure and shared control screen
S014A,04_model_spec.md,02_Code/03_models/03_run_spdm_channel_path.R,spdm_channel_models.csv;spdm_channel_impacts.csv;spdm_channel_controls_used.csv;spdm_channel_path_effects.csv;spdm_channel_bootstrap_draws.csv;spdm_channel_diagnostics.csv,04_model_spec.csv:M05A,canonical annual SPDM mediation-oriented channel path for resident aging to floating aging to commercial vitality
S014B,04_model_spec.md,02_Code/80_optional/spdm/01_run_spdm_interaction_models.R,spdm_interaction_models.csv;spdm_interaction_impacts.csv;spdm_interaction_effect_summary.csv;spdm_interaction_controls_used.csv;spdm_interaction_diagnostics.csv,04_model_spec.csv:M05B,supplementary SPDM COVID interaction appendix family
S014C,04_model_spec.md,02_Code/80_optional/spdm/02_run_spdm_age_mix_experiment.R,spdm_age_mix_experiment_models.csv;spdm_age_mix_experiment_impacts.csv;spdm_age_mix_experiment_controls_used.csv;spdm_age_mix_experiment_diagnostics.csv,04_model_spec.csv:M05C,manual annual appendix SPDM age-mix family on annualized domain age-share inputs
S014D,04_model_spec.md,02_Code/80_optional/spdm/03_run_spdm_sector_share_experiment.R,spdm_sector_share_experiment_models.csv;spdm_sector_share_experiment_impacts.csv;spdm_sector_share_experiment_controls_used.csv;spdm_sector_share_experiment_diagnostics.csv;spdm_sector_share_experiment_exposure_relations.csv,04_model_spec.csv:M05D,manual annual appendix SPDM sector-share family across resident and floating aging exposures
S014E,04_model_spec.md,02_Code/04_robustness/01_run_spdm_w_robustness.R,spdm_w_robustness_models.csv;spdm_w_robustness_impacts.csv;spdm_w_robustness_controls_used.csv;spdm_w_robustness_diagnostics.csv,04_model_spec.csv:M05E,resident-only annual true SDM with manual WX terms rerun across queen rook knn6 knn8
S014F,04_model_spec.md,02_Code/80_optional/spdm/04_run_spdm_selection_sidecar.R,spdm_selection_tests.csv;spdm_selection_family_comparison.csv,04_model_spec.csv:M05F,manual annual appendix SPDM selection diagnostics on the shared queen contract
S014G,04_model_spec.md,02_Code/80_optional/spdm/05_run_spdm_family_comparison_sidecar.R,spdm_family_models.csv;spdm_family_comparison.csv,04_model_spec.csv:M05G,manual appendix TWFE SLX SAR SDM SEM SDEM SARAR-SAC GNS family-comparison sidecar on the main annual queen sample and control contract
S015,04_model_spec.md,02_Code/04_robustness/02_run_robustness.R,robustness_summary.csv;robustness_compare.png,04_model_spec.csv:M06,annual outcome-definition sample-window and W-Moran robustness
S016,00_spec_index.md,02_Code/run_all.R,model_run_log.md,all active specs,pipeline orchestration for canonical annual order with opt-in 01_run_gtwr_main when RUN_GTWR_MAIN_SIDECAR=TRUE
S016A,04_model_spec.md,02_Code/05_reporting/01_make_tables_figures.R,descriptive_statistics.csv;main_variable_correlation_matrix.csv;main_variable_correlation_pairs.csv;main_variable_correlation_n_matrix.csv;data_coverage.csv;spatial_family_main_table.csv;gtwr_latest_summary_table_<control_set>.csv;gtwr_latest_rankings_table_<control_set>.csv;gtwr_delta_summary_table_<control_set>.csv;gtwr_delta_rankings_table_<control_set>.csv,04_model_spec.csv:M08,reporting builder for always-on descriptive and correlation outputs plus optional appendix tables that do not affect active success when inputs are absent
S016B,04_model_spec.md,02_Code/05_reporting/02_build_presentation_artifacts.R,presentation_*.csv;presentation_*.png;presentation_manifest.csv,04_model_spec.csv:M08A,presentation-only sidecar that derives slide-ready artifacts from canonical outputs
S016C,04_model_spec.md,02_Code/05_reporting/03_build_gtwr_level_artifacts.R,gtwr_level_*.csv;gtwr_level_*.png,04_model_spec.csv:M08B,optional annual GTWR level reporting sidecar that derives early/latest/delta triptych maps annual trajectories living-area/gu regional summaries sign-transition tables and delta diagnostics from all available extended and lean GTWR local-beta outputs without rerunning GTWR
S017,04_model_spec.md,02_Code/06_qc/01_validate_method_dataset_alignment.R,method_dataset_contract_check.csv,04_model_spec.csv:M01;M03;M05;M05A;M05E;M06;M07,active method-dataset QC over annual preprocess panel ESDA TWFE SPDM main SPDM channel path W-robustness robustness and opt-in GTWR raw outputs only
S018,01_data_spec.md,02_Code/06_qc/02_check_processed_parquet_outputs.R,processed_parquet_inventory.csv;processed_parquet_schema.csv;processed_parquet_missing_summary.csv;processed_parquet_qc_checks.csv,01_data_spec_datasets.csv:D003;D004;D005;D005B;D005C;D022;D023;D006;D034;D035;D036;D037;D038;D039;D040;D041,manual full processed-output parquet audit limited to the current annual contract
S019,04_model_spec.md,02_Code/80_optional/gtwr/01_run_gtwr_main.R;02_Code/R/utils_gtwr_main.R,gtwr_main_models_<control_set>.csv;gtwr_local_beta_panel_<control_set>.csv;gtwr_local_coefficients_<control_set>.csv;gtwr_controls_used_<control_set>.csv;gtwr_main_frozen_spec_<control_set>.csv;gtwr_lamda_sensitivity_<control_set>.csv;gtwr_bandwidth_sensitivity_<control_set>.csv,04_model_spec.csv:M07,resident-only GTWR raw control-set-specific outputs with lean or extended control_set plus frozen control-bandwidth manifest and optional lamda/bandwidth sensitivity on annual sample
S019A,04_model_spec.md,02_Code/80_optional/gtwr/02_run_gtwr_floating_only.R,gtwr_floating_models_<control_set>.csv;gtwr_floating_local_beta_panel_<control_set>.csv;gtwr_floating_local_coefficients_<control_set>.csv;gtwr_floating_controls_used_<control_set>.csv;gtwr_floating_frozen_spec_<control_set>.csv,04_model_spec.csv:M07A,manual annual appendix GTWR floating-only raw bundle using configured control_set
S019B,04_model_spec.md,02_Code/80_optional/gtwr/03_run_gtwr_age_band.R,gtwr_age_band_models_<control_set>.csv;gtwr_age_band_local_beta_panel_<control_set>.csv;gtwr_age_band_local_coefficients_<control_set>.csv;gtwr_age_band_controls_used_<control_set>.csv;gtwr_age_band_frozen_spec_<control_set>.csv,04_model_spec.csv:M07B,manual annual appendix GTWR age-band raw bundle using configured control_set
S019C,04_model_spec.md,02_Code/80_optional/gtwr/04_run_gtwr_sector_share.R,gtwr_sector_share_models_<control_set>.csv;gtwr_sector_share_local_beta_panel_<control_set>.csv;gtwr_sector_share_local_coefficients_<control_set>.csv;gtwr_sector_share_controls_used_<control_set>.csv;gtwr_sector_share_frozen_spec_<control_set>.csv,04_model_spec.csv:M07C,manual annual appendix GTWR sector-share raw bundle using configured control_set
S019D,04_model_spec.md,02_Code/80_optional/gtwr/05_run_gwr_delta.R,gwr_delta_main_models.csv;gwr_delta_local_coefficients.csv;gwr_delta_floating_models.csv;gwr_delta_floating_local_coefficients.csv;gwr_delta_controls_used.csv,04_model_spec.csv:M07D,manual annual appendix GWR delta bundle with fixed 3Y versus 3Y windows
S019X,04_model_spec.md,02_Code/80_optional/gtwr/06_run_gtwr_experiment.R,gtwr_experiment_main_models_<control_set>.csv;gtwr_experiment_local_beta_panel_<control_set>.csv;gtwr_experiment_local_coefficients_<control_set>.csv;gtwr_experiment_controls_used_<control_set>.csv;gtwr_experiment_controls_used_state_<control_set>.csv;gtwr_experiment_registry_<control_set>.csv;gtwr_experiment_ranked_candidates_<control_set>.csv,04_model_spec.csv:M07X,manual annual appendix GTWR experiment registry and ranked-candidate bundle
S023,01_data_spec.md,02_Code/06_qc/03_open_outputs_for_rstudio_review.R,none persisted session objects only,01_data_spec.md,interactive RStudio review helper that builds output inventory without writing new files
