dataset_id,dataset_name,layer,granularity,temporal_coverage,source,primary_path,producer_script,consumer_scripts,key_columns,update_cycle,qc_checks
D002,Admin Region Lookup,analysis,adm_cd,2020 boundary,Seoul Commercial Service admin boundary plus Seoul living-area classification,01_Data/03_Processed_Data/02_Analysis_Ready/adm_region_lookup.parquet,02_Code/01_preprocess/01_build_adm_region_lookup.R,02_Code/01_preprocess/05_build_registered_resident_population.R;02_Code/05_reporting/03_build_gtwr_level_artifacts.R;02_Code/06_qc/01_validate_method_dataset_alignment.R;02_Code/06_qc/02_check_processed_parquet_outputs.R,adm_cd,static,425 dong coverage;25 gu coverage;5 living-area coverage;gu expected counts;no quarter key
D003,Seoul Quarter Base,analysis,adm_cd-yq,2019Q1-2025Q4,Seoul Commercial Service,01_Data/03_Processed_Data/02_Analysis_Ready/seoul_quarter_base.parquet,02_Code/01_preprocess/02_build_seoul_quarter_base.R,02_Code/01_preprocess/06_build_analysis_panel.R;02_Code/06_qc/01_validate_method_dataset_alignment.R;02_Code/06_qc/02_check_processed_parquet_outputs.R,adm_cd;yq,quarterly,key uniqueness;quarterly coverage;canonical year quarter yq quarter_index keys
D004,Auxiliary Covariates,analysis,adm_cd-yq and static,mixed years,Public data,01_Data/03_Processed_Data/02_Analysis_Ready/aux_covariates.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,02_Code/01_preprocess/06_build_analysis_panel.R;02_Code/06_qc/01_validate_method_dataset_alignment.R;02_Code/06_qc/02_check_processed_parquet_outputs.R,adm_cd;yq,quarterly and static,coverage by yq;schema stability;source precision notes
D004L,Auxiliary Covariates Lag Support,analysis,adm_cd-yq,2018Q1-2025Q4,Public data,01_Data/03_Processed_Data/02_Analysis_Ready/aux_covariates_lag_support.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,02_Code/01_preprocess/06_build_analysis_panel.R,adm_cd;yq,quarterly and static,coverage by yq;schema stability;2018 support coverage
D004C,Workplace Worker Population,analysis,adm_cd-year,2018-2025 as-of from 2018-2024 source,Seoul business status worker-size by dong,01_Data/03_Processed_Data/02_Analysis_Ready/workplace_worker_population.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,02_Code/01_preprocess/06_build_analysis_panel.R;02_Code/06_qc/01_validate_method_dataset_alignment.R;02_Code/06_qc/02_check_processed_parquet_outputs.R,adm_cd;year,annual source repeated/as-of for quarterly lag support,425 dong coverage;source-year city total parity;Hang-dong backcast flag;2025 carry-forward flag;name harmonization
D004A,Land Price LPI Crosswalk,intermediate,adm_cd-bjd_cd,2020 admin boundary and 2025 legal boundary,Korea Real Estate Board LPI legal-dong surface plus Seoul boundaries,01_Data/03_Processed_Data/01_Intermediate/land_price_lpi_bjd_adm_crosswalk.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,02_Code/01_preprocess/03_build_auxiliary_covariates.R;02_Code/06_qc/03_open_outputs_for_rstudio_review.R,adm_cd;bjd_cd,static spatial crosswalk,legal-dong match;425 admin-dong coverage;normalized weight sum
D004B,Land Price LPI Factor,intermediate,adm_cd-yq,2018Q1-2025Q4,Korea Real Estate Board monthly regional land price index,01_Data/03_Processed_Data/01_Intermediate/land_price_lpi_factor_adm_quarter.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,02_Code/01_preprocess/03_build_auxiliary_covariates.R;02_Code/01_preprocess/06_build_analysis_panel.R;02_Code/06_qc/03_open_outputs_for_rstudio_review.R,adm_cd;yq,monthly LPI to quarterly,3-month factor coverage;legal-dong weight coverage;key uniqueness
D005,Living Population External Inflow,analysis,adm_cd-yq,2019Q1-2025Q4,Seoul Living Population,01_Data/03_Processed_Data/02_Analysis_Ready/living_population_external_inflow.parquet,02_Code/80_optional/preprocess/01_build_living_population_inflow.R,02_Code/01_preprocess/06_build_analysis_panel.R;02_Code/06_qc/01_validate_method_dataset_alignment.R;02_Code/06_qc/02_check_processed_parquet_outputs.R,adm_cd;yq,monthly ZIP to quarterly,member manifest;quarterly coverage;key uniqueness
D005B,Golmok Survival Rate,analysis,adm_cd-yq,2019Q1-2025Q4,Seoul Commercial Service survival JSON,01_Data/03_Processed_Data/02_Analysis_Ready/golmok_survival_rate.parquet,02_Code/01_preprocess/04_build_golmok_survival_rate.R,02_Code/01_preprocess/06_build_analysis_panel.R;02_Code/01_preprocess/07_build_vitality_index.R;02_Code/06_qc/01_validate_method_dataset_alignment.R;02_Code/06_qc/02_check_processed_parquet_outputs.R,adm_cd;yq,JSON 3-year blocks matched to quarters,request raw JSON;quarterly coverage;key uniqueness;small cohort flag
D005C,Registered Resident Population,analysis,adm_cd-yq,2019Q1-2025Q4,MOIS registered population,01_Data/03_Processed_Data/02_Analysis_Ready/registered_resident_population.parquet,02_Code/01_preprocess/05_build_registered_resident_population.R,02_Code/01_preprocess/06_build_analysis_panel.R;02_Code/80_optional/twfe/03_run_twfe_age_mix_experiment.R;02_Code/80_optional/spdm/02_run_spdm_age_mix_experiment.R;02_Code/80_optional/gtwr/02_run_gtwr_age_band.R;02_Code/06_qc/01_validate_method_dataset_alignment.R;02_Code/06_qc/02_check_processed_parquet_outputs.R,adm_cd;yq,monthly 5-year age stock to quarterly,admin-name mapping QC;3-month coverage;key uniqueness;split-boundary allocation flag
D005E,Registered Resident Population Lag Support,analysis,adm_cd-yq,2018Q1-2025Q4,MOIS registered population,01_Data/03_Processed_Data/02_Analysis_Ready/registered_resident_population_lag_support.parquet,02_Code/01_preprocess/05_build_registered_resident_population.R,02_Code/01_preprocess/06_build_analysis_panel.R,adm_cd;yq,monthly 5-year age stock to quarterly,admin-name mapping QC;3-month coverage;key uniqueness;2018 support coverage
D005D,Registered Resident Population Monthly,intermediate,adm_cd-year-month,2018-2025,MOIS registered population,01_Data/03_Processed_Data/01_Intermediate/registered_resident_population_monthly.parquet,02_Code/01_preprocess/05_build_registered_resident_population.R,02_Code/01_preprocess/05_build_registered_resident_population.R;02_Code/06_qc/03_open_outputs_for_rstudio_review.R,adm_cd;year;month,monthly stock,age-band sum check;monthly coverage
D028,Medical Source Preagg,intermediate,record-level pre-aggregation,2019-2025,Public data,01_Data/03_Processed_Data/01_Intermediate/medical_source_preagg.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,02_Code/01_preprocess/03_build_auxiliary_covariates.R;02_Code/06_qc/03_open_outputs_for_rstudio_review.R,medical_record_id,irregular permit records,geocoded permit records before annual status aggregation
D029,Mall Source Preagg,intermediate,record-level pre-aggregation,2019-2025,Public data,01_Data/03_Processed_Data/01_Intermediate/mall_source_preagg.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,02_Code/01_preprocess/03_build_auxiliary_covariates.R;02_Code/06_qc/03_open_outputs_for_rstudio_review.R,mall_record_id,irregular permit records,geocoded permit records before annual status aggregation
D030,Senior Source Preagg,intermediate,record-level pre-aggregation,static source expanded only at aggregation step,Public data,01_Data/03_Processed_Data/01_Intermediate/senior_source_preagg.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,02_Code/01_preprocess/03_build_auxiliary_covariates.R;02_Code/06_qc/03_open_outputs_for_rstudio_review.R,senior_record_id,static facility records,deduplicated facility records before annual count aggregation
D031,Bus Stop Source Preagg,intermediate,record-level pre-aggregation,2019-2025,Public data,01_Data/03_Processed_Data/01_Intermediate/bus_stop_source_preagg.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,02_Code/01_preprocess/03_build_auxiliary_covariates.R;02_Code/06_qc/03_open_outputs_for_rstudio_review.R,bus_stop_id,mixed frequency snapshots,geocoded bus stops before quarterly accessibility aggregation
D032,Subway Station Source Preagg,intermediate,record-level pre-aggregation,2019-2025,Public data,01_Data/03_Processed_Data/01_Intermediate/subway_station_source_preagg.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,02_Code/01_preprocess/03_build_auxiliary_covariates.R;02_Code/06_qc/03_open_outputs_for_rstudio_review.R,subway_station_id,static master with opening dates,subway stations before quarterly accessibility aggregation
D030B,Apartment Registry Source Preagg,intermediate,record-level pre-aggregation,2019-2025,Public data,01_Data/03_Processed_Data/01_Intermediate/apartment_registry_source_preagg.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,02_Code/01_preprocess/03_build_auxiliary_covariates.R;02_Code/06_qc/03_open_outputs_for_rstudio_review.R,apartment_id,static registry,geocoded apartments before annual aggregation
D030C,Senior Geocode Cache,intermediate,record-level pre-aggregation,static,Public data,01_Data/03_Processed_Data/01_Intermediate/senior_geocode_cache.parquet,02_Code/01_preprocess/03_build_auxiliary_covariates.R,02_Code/01_preprocess/03_build_auxiliary_covariates.R;02_Code/06_qc/03_open_outputs_for_rstudio_review.R,address,static geocoding cache,persisted geocodes for senior welfare facilities
