join_id,left_dataset,right_dataset,join_type,join_keys,spatial_rule,temporal_rule,aggregation_rule,pre_join_checks,post_join_checks,failure_policy,script_owner
J00,2020 admin boundary,adm_region_lookup,static lookup build,adm_cd,2020 Seoul admin-dong boundary plus gu-prefix living-area mapping,static,no temporal aggregation,boundary adm_cd validity;gu prefix table completeness,425 dong coverage;25 gu coverage;5 living-area coverage;gu expected counts,FAIL,02_Code/01_preprocess/01_build_adm_region_lookup.R
J01,quarterly sales and store and floating raw,seoul_quarter_base,aggregate then publish,adm_cd;yq,2020 adm_cd only,publish source quarter directly,additive flow uses quarterly sum and level-share uses quarterly representative mean,source classification;raw key validation;yq coverage check,quarter base key uniqueness;canonical quarter keys retained,FAIL,02_Code/01_preprocess/02_build_seoul_quarter_base.R
J02,Q4-updated Seoul structural raw,seoul_quarter_base,quarter-end as-of publish,adm_cd;yq,2020 adm_cd only,Q4 source value published to same-year quarters by explicit as-of rule,Q4 missing becomes NA with no latest-quarter fallback,column standardization;adm_cd validity;year parsing;Q4 presence check,quarter-base schema stability;coverage by yq,FAIL,02_Code/01_preprocess/02_build_seoul_quarter_base.R
J03,seoul_quarter_base,aux_covariates,left join,adm_cd;yq,shared 2020 admin-dong boundary contract,quarter-end as-of for annual/static source precision plus mixed-frequency transit snapshots; 2018 support retained separately for lag joins,annual/static auxiliary values and quarterly transit counts aligned to quarterly panel,each side key uniqueness;coverage snapshot;transit snapshot provenance by yq,post-join row parity;coverage summary,WARN,02_Code/01_preprocess/06_build_analysis_panel.R
J03LPI,legal-dong monthly land price index,land_price_lpi_factor_adm_quarter,spatial crosswalk plus quarterly factor,adm_cd;yq,legal-dong boundary intersected with 2020 Seoul admin-dong boundary,monthly LPI converted to quarterly mean factor against previous December,area-weighted geometric mean of legal-dong LPI factors by admin-dong,legal-dong name match;467 legal-dong coverage;425 admin-dong crosswalk coverage;3-month LPI coverage,normalized weight sum;factor coverage;adjusted land price coverage,FAIL,02_Code/01_preprocess/03_build_auxiliary_covariates.R
J03A,seoul_quarter_base,living_population_external_inflow,left join,adm_cd;yq,shared 2020 admin-dong boundary contract,same quarter only,monthly normalized quarterly mean point population joined directly,monthly ZIP member manifest;adm_cd-yq uniqueness;yq coverage;month_success_days and month_coverage_flag,post-join row parity;coverage summary,WARN,02_Code/01_preprocess/06_build_analysis_panel.R
J03B,seoul_quarter_base,golmok_survival_rate,left join,adm_cd;yq,shared 2020 admin-dong boundary contract,quarter-end as-of for annual JSON block values,Seoul Commercial Service survival JSON rate aligned to quarterly panel,raw JSON saved;adm_cd-yq uniqueness;yq coverage;rate range;small cohort flag,post-join row parity;coverage summary,WARN,02_Code/01_preprocess/06_build_analysis_panel.R
J03C,seoul_quarter_base,registered_resident_population,left join,adm_cd;yq,source admin names mapped to shared 2020 admin-dong boundary,same quarter except flagged split-boundary allocation for pre-split Oryu 2-dong and Hang-dong; 2018 support retained separately for lag joins,monthly registered resident stock quarterly mean and denominator-weighted age shares joined directly,source admin-name mapping;adm_cd-yq uniqueness;3-month coverage;age-sum diff;split-boundary allocation flag,post-join row parity;coverage summary;no missing resident_pop or age60_resident_share,FAIL,02_Code/01_preprocess/06_build_analysis_panel.R
J04,panel_merged_base,shared derived transforms,mutate within panel,adm_cd;yq,not spatial,current-quarter variables plus approved lag variables,quarterly transforms and canonical lag contract derived in shared panel,required columns present;adm_cd-yq uniqueness,row parity;approved lag coverage;no unregistered lag or lead leakage;structural count flags,FAIL,02_Code/01_preprocess/06_build_analysis_panel.R
J05,panel_main_pre_vitality,vitality_components,left join,adm_cd;yq,not spatial,current quarter only,vitality sub-indices and composite scores added without changing shared keys,required component inputs present;row parity with pre-vitality,row parity with final panel;component QC,FAIL,02_Code/01_preprocess/07_build_vitality_index.R
J06,panel_main,W matrices,alignment by ordering,adm_cd,shared 2020 admin-dong boundary ordering,static across quarters,no aggregation on W side,panel adm coverage;W node coverage,zero missing node alignment;connectivity checks,FAIL,02_Code/02_esda/01_build_spatial_weights.R
